"StationID","latitude","longitude"
1,34.057961725178,-118.425591324722
2,34.0553976364828,-118.445165675881
3,34.0622257298523,-118.442885085203
4,34.0532043750819,-118.443139485081
5,34.0549538222976,-118.44450348801
6,34.0610805419775,-118.445039074032
7,34.0656464655113,-118.42868680327
8,34.0552855131448,-118.441617196628
9,34.0537689988196,-118.441148936518
10,34.0603806763453,-118.443831406554
11,34.0551953265848,-118.444091751428
12,34.0692423539517,-118.454693139717
13,34.05493521885,-118.443435821744
14,34.0568695661174,-118.431866009662
15,34.0647826619565,-118.450260852623
16,34.0548871602643,-118.443652280289
17,34.0651496756359,-118.441261472615
18,34.061153897822,-118.447524491225
19,34.0650819691352,-118.425962735878
20,34.0540866133467,-118.442638780856
21,34.0619445260041,-118.426525013892
22,34.0564360669967,-118.437157089234
23,34.0608920622782,-118.442482113546
24,34.0507806683801,-118.443630517955
25,34.0623916036695,-118.442132527819
26,34.0511116915442,-118.438092724547
27,34.0801132648056,-118.435319397565
28,34.0637995061186,-118.435314559529
29,34.0533659552808,-118.436966745389
30,34.0544629549739,-118.438969728602
31,34.0610345776275,-118.443517716107
32,34.0633933580179,-118.422423888837
33,34.0612223779501,-118.44421428795
34,34.0512845171779,-118.436875674195
35,34.0550616521307,-118.442085076039
36,34.061179305517,-118.442652287325
37,34.0507532551914,-118.438791061428
38,34.0592088961352,-118.442816097632
39,34.0630297778062,-118.452162784638
40,34.0629571140866,-118.443136487114
41,34.0606260008756,-118.439965197784
42,34.067935485667,-118.453774966224
